time,Niger
1/8/2015 15:30,0.404842704
1/8/2015 16:30,0.145534185
1/8/2015 17:30,0.007226659
1/8/2015 18:30,0
1/8/2015 19:30,0
1/8/2015 20:30,0
1/8/2015 21:30,0
1/8/2015 22:30,0
1/8/2015 23:30,0
1/9/2015 0:30,0
1/9/2015 1:30,0
1/9/2015 2:30,0
1/9/2015 3:30,0
1/9/2015 4:30,0
1/9/2015 5:30,0.00074212
1/9/2015 6:30,0.081419371
1/9/2015 7:30,0.336454733
1/9/2015 8:30,0.594851477
1/9/2015 9:30,0.794228753
1/9/2015 10:30,0.908961492
1/9/2015 11:30,0.951539733
1/9/2015 12:30,0.924510167
1/9/2015 13:30,0.819152374
1/9/2015 14:30,0.641320103
1/9/2015 15:30,0.405271439
1/9/2015 16:30,0.148743308
1/9/2015 17:30,0.007765778
1/9/2015 18:30,0
1/9/2015 19:30,0
1/9/2015 20:30,0
1/9/2015 21:30,0
1/9/2015 22:30,0
1/9/2015 23:30,0
1/10/2015 0:30,0
1/10/2015 1:30,0
1/10/2015 2:30,0
1/10/2015 3:30,0
1/10/2015 4:30,0
1/10/2015 5:30,0.000716239
1/10/2015 6:30,0.083314685
1/10/2015 7:30,0.339877436
1/10/2015 8:30,0.596319907
1/10/2015 9:30,0.796721436
1/10/2015 10:30,0.91291686
1/10/2015 11:30,0.959040093
1/10/2015 12:30,0.929820983
1/10/2015 13:30,0.826089216
1/10/2015 14:30,0.645237212
1/10/2015 15:30,0.408841502
1/10/2015 16:30,0.150357743
1/10/2015 17:30,0.008028136
1/10/2015 18:30,0
1/10/2015 19:30,0
1/10/2015 20:30,0
1/10/2015 21:30,0
1/10/2015 22:30,0
1/10/2015 23:30,0
1/11/2015 0:30,0
1/11/2015 1:30,0
1/11/2015 2:30,0
1/11/2015 3:30,0
1/11/2015 4:30,0
1/11/2015 5:30,0.000694132
1/11/2015 6:30,0.082084053
1/11/2015 7:30,0.335958789
1/11/2015 8:30,0.590362376
1/11/2015 9:30,0.789215131
1/11/2015 10:30,0.905597434
1/11/2015 11:30,0.953110067
1/11/2015 12:30,0.925470461
1/11/2015 13:30,0.825301585
1/11/2015 14:30,0.651806038
1/11/2015 15:30,0.415154212
1/11/2015 16:30,0.153523265
1/11/2015 17:30,0.0082703
1/11/2015 18:30,0
1/11/2015 19:30,0
1/11/2015 20:30,0
1/11/2015 21:30,0
1/11/2015 22:30,0
1/11/2015 23:30,0
1/12/2015 0:30,0
1/12/2015 1:30,0
1/12/2015 2:30,0
1/12/2015 3:30,0
1/12/2015 4:30,0
1/12/2015 5:30,0.000727233
1/12/2015 6:30,0.083977324
1/12/2015 7:30,0.338999494
1/12/2015 8:30,0.594774303
1/12/2015 9:30,0.797708415
1/12/2015 10:30,0.916567412
1/12/2015 11:30,0.966357281
1/12/2015 12:30,0.93953601
1/12/2015 13:30,0.839869586
1/12/2015 14:30,0.664685841
1/12/2015 15:30,0.426911267
1/12/2015 16:30,0.160159721
1/12/2015 17:30,0.008995127
1/12/2015 18:30,0
1/12/2015 19:30,0
1/12/2015 20:30,0
1/12/2015 21:30,0
1/12/2015 22:30,0
1/12/2015 23:30,0
1/13/2015 0:30,0
1/13/2015 1:30,0
1/13/2015 2:30,0
1/13/2015 3:30,0
1/13/2015 4:30,0
1/13/2015 5:30,0.000684954
1/13/2015 6:30,0.082660418
1/13/2015 7:30,0.340814195
1/13/2015 8:30,0.595395551
1/13/2015 9:30,0.796841094
1/13/2015 10:30,0.913941181
1/13/2015 11:30,0.962219002
1/13/2015 12:30,0.933931773
1/13/2015 13:30,0.834863689
1/13/2015 14:30,0.659435816
1/13/2015 15:30,0.417344986
1/13/2015 16:30,0.155715769
1/13/2015 17:30,0.008714311
1/13/2015 18:30,0
1/13/2015 19:30,0
1/13/2015 20:30,0
1/13/2015 21:30,0
1/13/2015 22:30,0
1/13/2015 23:30,0
1/14/2015 0:30,0
1/14/2015 1:30,0
1/14/2015 2:30,0
1/14/2015 3:30,0
1/14/2015 4:30,0
1/14/2015 5:30,0.000642378
1/14/2015 6:30,0.079732395
1/14/2015 7:30,0.33006715
1/14/2015 8:30,0.580174598
1/14/2015 9:30,0.784126813
1/14/2015 10:30,0.896845398
1/14/2015 11:30,0.937379208
1/14/2015 12:30,0.898238099
1/14/2015 13:30,0.811259082
1/14/2015 14:30,0.648792526
1/14/2015 15:30,0.419363677
1/14/2015 16:30,0.159744206
1/14/2015 17:30,0.009400783
1/14/2015 18:30,0
1/14/2015 19:30,0
1/14/2015 20:30,0
1/14/2015 21:30,0
1/14/2015 22:30,0
1/14/2015 23:30,0
1/15/2015 0:30,0
1/15/2015 1:30,0
1/15/2015 2:30,0
1/15/2015 3:30,0
1/15/2015 4:30,0
1/15/2015 5:30,0.000631079
1/15/2015 6:30,0.077070926
1/15/2015 7:30,0.329091486
1/15/2015 8:30,0.58562166
1/15/2015 9:30,0.783554605
1/15/2015 10:30,0.894337669
1/15/2015 11:30,0.935633028
1/15/2015 12:30,0.907390035
1/15/2015 13:30,0.812548473
1/15/2015 14:30,0.646746685
1/15/2015 15:30,0.411784383
1/15/2015 16:30,0.154297359
1/15/2015 17:30,0.009744701
1/15/2015 18:30,0
1/15/2015 19:30,0
1/15/2015 20:30,0
1/15/2015 21:30,0
1/15/2015 22:30,0
1/15/2015 23:30,0
1/16/2015 0:30,0
1/16/2015 1:30,0
1/16/2015 2:30,0
1/16/2015 3:30,0
1/16/2015 4:30,0
1/16/2015 5:30,0.000633424
1/16/2015 6:30,0.080055307
1/16/2015 7:30,0.334456618
1/16/2015 8:30,0.586680867
1/16/2015 9:30,0.785346087
1/16/2015 10:30,0.900181343
1/16/2015 11:30,0.948866358
1/16/2015 12:30,0.92368224
1/16/2015 13:30,0.824742998
1/16/2015 14:30,0.650598769
1/16/2015 15:30,0.417417634
1/16/2015 16:30,0.160144982
1/16/2015 17:30,0.010258371
1/16/2015 18:30,0
1/16/2015 19:30,0
1/16/2015 20:30,0
1/16/2015 21:30,0
1/16/2015 22:30,0
1/16/2015 23:30,0
1/17/2015 0:30,0
1/17/2015 1:30,0
1/17/2015 2:30,0
1/17/2015 3:30,0
1/17/2015 4:30,0
1/17/2015 5:30,0.000625761
1/17/2015 6:30,0.079746573
1/17/2015 7:30,0.33340961
1/17/2015 8:30,0.585864364
1/17/2015 9:30,0.780650092
1/17/2015 10:30,0.894766907
1/17/2015 11:30,0.942511561
1/17/2015 12:30,0.917747833
1/17/2015 13:30,0.822079598
1/17/2015 14:30,0.651249729
1/17/2015 15:30,0.422340161
1/17/2015 16:30,0.163125069
1/17/2015 17:30,0.010554245
1/17/2015 18:30,0
1/17/2015 19:30,0
1/17/2015 20:30,0
1/17/2015 21:30,0
1/17/2015 22:30,0
1/17/2015 23:30,0
1/18/2015 0:30,0
1/18/2015 1:30,0
1/18/2015 2:30,0
1/18/2015 3:30,0
1/18/2015 4:30,0
1/18/2015 5:30,0.000623925
1/18/2015 6:30,0.079716166
1/18/2015 7:30,0.334814322
1/18/2015 8:30,0.585423582
1/18/2015 9:30,0.779979048
1/18/2015 10:30,0.889258515
1/18/2015 11:30,0.933480751
1/18/2015 12:30,0.908926398
1/18/2015 13:30,0.814029964
1/18/2015 14:30,0.648183132
1/18/2015 15:30,0.420025488
1/18/2015 16:30,0.163209583
1/18/2015 17:30,0.010700321
1/18/2015 18:30,0
1/18/2015 19:30,0
1/18/2015 20:30,0
1/18/2015 21:30,0
1/18/2015 22:30,0
1/18/2015 23:30,0
1/19/2015 0:30,0
1/19/2015 1:30,0
1/19/2015 2:30,0
1/19/2015 3:30,0
1/19/2015 4:30,0
1/19/2015 5:30,0.00062582
1/19/2015 6:30,0.078556293
1/19/2015 7:30,0.329971481
1/19/2015 8:30,0.580724322
1/19/2015 9:30,0.77025499
1/19/2015 10:30,0.876831638
1/19/2015 11:30,0.919740889
1/19/2015 12:30,0.89471634
1/19/2015 13:30,0.801465895
1/19/2015 14:30,0.640680577
1/19/2015 15:30,0.418211374
1/19/2015 16:30,0.164939458
1/19/2015 17:30,0.011600527
1/19/2015 18:30,0
1/19/2015 19:30,0
1/19/2015 20:30,0
1/19/2015 21:30,0
1/19/2015 22:30,0
1/19/2015 23:30,0
1/20/2015 0:30,0
1/20/2015 1:30,0
1/20/2015 2:30,0
1/20/2015 3:30,0
1/20/2015 4:30,0
1/20/2015 5:30,0.000628454
1/20/2015 6:30,0.078362919
1/20/2015 7:30,0.325331707
1/20/2015 8:30,0.573185612
1/20/2015 9:30,0.757643996
1/20/2015 10:30,0.860283134
1/20/2015 11:30,0.901453017
1/20/2015 12:30,0.869825091
1/20/2015 13:30,0.775659942
1/20/2015 14:30,0.617270002
1/20/2015 15:30,0.39822608
1/20/2015 16:30,0.156100098
1/20/2015 17:30,0.011225578
1/20/2015 18:30,0
1/20/2015 19:30,0
1/20/2015 20:30,0
1/20/2015 21:30,0
1/20/2015 22:30,0
1/20/2015 23:30,0
1/21/2015 0:30,0
1/21/2015 1:30,0
1/21/2015 2:30,0
1/21/2015 3:30,0
1/21/2015 4:30,0
1/21/2015 5:30,0.000603419
1/21/2015 6:30,0.07537252
1/21/2015 7:30,0.320676766
1/21/2015 8:30,0.561643945
1/21/2015 9:30,0.7484293
1/21/2015 10:30,0.854271117
1/21/2015 11:30,0.896940144
1/21/2015 12:30,0.868679429
1/21/2015 13:30,0.779698813
1/21/2015 14:30,0.627375467
1/21/2015 15:30,0.409823798
1/21/2015 16:30,0.162839632
