,NER.1_1,NER.2_1,NER.3_1,NER.4_1,NER.5_1,NER.6_1,NER.7_1,NER.8_1
0,0.003769373659939339,0.0010339343874344337,0.005365918398371926,0.013167015877051973,0.019021889823410895,0.008972807082032864,0.007277227309864418,0.010878553346499105
1,0.003667498696157195,0.0010059902148010706,0.005220893576794307,0.012811150583077595,0.01850778469304844,0.008730298782518462,0.007080545490678893,0.010584538391188319
2,0.003769373659939339,0.0010339343874344337,0.005365918398371926,0.013167015877051973,0.019021889823410895,0.008972807082032864,0.007277227309864418,0.010878553346499105
3,0.004074998551285772,0.001117766905334523,0.005800992863104785,0.014234611758975106,0.020564205214498265,0.00970033198057607,0.007867272767420993,0.011760598212431465
4,0.004482498406414349,0.001229543595867975,0.006381092149415263,0.015658072934872615,0.02262062573594809,0.010670365178633675,0.00865400004416309,0.01293665803367461
5,0.004991873225325071,0.0013692644590347907,0.007106216257303362,0.017437399404744505,0.025191151387760374,0.011882906676205686,0.009637409140090716,0.014406732810228544
6,0.005399373080453648,0.0014810411495682428,0.00768631554361384,0.018860860580642014,0.0272475719092102,0.012852939874263291,0.010424136416832814,0.015582792631471689
7,0.005704997971800081,0.001564873667468332,0.0081213900083467,0.019928456462565147,0.028789887300297568,0.013580464772806496,0.011014181874389389,0.016464837497404048
8,0.00590874789936437,0.0016207620127350582,0.008411439651501939,0.020640187050513906,0.029818097561022487,0.014065481371835302,0.01140754551276044,0.017052867408025623
9,0.005959685381255442,0.0016347340990517398,0.008483952062290748,0.02081811969750109,0.030075150126203713,0.014186735521592502,0.011505886422353201,0.01719987488568102
10,0.005857810417473297,0.0016067899264183767,0.008338927240713128,0.020462254403526715,0.029561044995841255,0.013944227222078099,0.011309204603167675,0.01690585993037023
11,0.0057559354536911534,0.0015788457537850137,0.008193902419135509,0.020106389109552338,0.0290469398654788,0.013701718922563699,0.011112522783982153,0.016611844975059444
12,0.005704997971800081,0.001564873667468332,0.0081213900083467,0.019928456462565147,0.028789887300297568,0.013580464772806496,0.011014181874389389,0.016464837497404048
13,0.005704997971800081,0.001564873667468332,0.0081213900083467,0.019928456462565147,0.028789887300297568,0.013580464772806496,0.011014181874389389,0.016464837497404048
14,0.0057559354536911534,0.0015788457537850137,0.008193902419135509,0.020106389109552338,0.0290469398654788,0.013701718922563699,0.011112522783982153,0.016611844975059444
15,0.005857810417473297,0.0016067899264183767,0.008338927240713128,0.020462254403526715,0.029561044995841255,0.013944227222078099,0.011309204603167675,0.01690585993037023
16,0.00662187264583938,0.0018163712211685997,0.009426613402545275,0.023131244108334545,0.03341683347355968,0.015763039468436112,0.012784318247059112,0.01911097209520113
17,0.008302809548244762,0.0022774500696190903,0.011819522958575999,0.029003021458911777,0.04189956812454022,0.019764426410423742,0.016029568263620272,0.02396221885782911
18,0.009678121559303709,0.002654696400169492,0.013777358049873865,0.03380720292756588,0.04883998738443338,0.023038288453868166,0.01868477282262486,0.02793142075452473
19,0.009576246595521564,0.0026267522275361284,0.013632333228296243,0.033451337633591496,0.04832588225407092,0.02279578015435376,0.01848809100343933,0.02763740579921394
20,0.007946247175007257,0.0021796454654023196,0.01131193608305433,0.02775749293000146,0.04010020016827162,0.018915647362123336,0.015341181896470936,0.022933166514241356
21,0.005806872935582226,0.001592817840101695,0.008266414829924318,0.020284321756539526,0.02930399243066003,0.0138229730723209,0.011210863693574914,0.016758852452714836
22,0.004584373370196493,0.0012574877685013381,0.006526116970992883,0.016013938228846992,0.023134730866310547,0.010912873478148078,0.008850681863348616,0.013230672988985398
23,0.004125936033176844,0.0011317389916512043,0.005873505273893595,0.014412544405962294,0.020821257779679494,0.00982158613033327,0.007965613677013754,0.011907605690086857
24,0.003820311141830412,0.0010479064737511153,0.005438430809160736,0.013344948524039162,0.019278942388592124,0.009094061231790065,0.007375568219457181,0.011025560824154498
25,0.003718436178048267,0.0010199623011177522,0.005293405987583116,0.012989083230064783,0.018764837258229666,0.008851552932275663,0.007178886400271655,0.01073154586884371
26,0.003820311141830412,0.0010479064737511153,0.005438430809160736,0.013344948524039162,0.019278942388592124,0.009094061231790065,0.007375568219457181,0.011025560824154498
27,0.004125936033176844,0.0011317389916512043,0.005873505273893595,0.014412544405962294,0.020821257779679494,0.00982158613033327,0.007965613677013754,0.011907605690086857
28,0.004533435888305422,0.0012435156821846568,0.006453604560204073,0.015836005581859807,0.02287767830112932,0.010791619328390878,0.008752340953755855,0.013083665511330004
29,0.004991873225325071,0.0013692644590347907,0.007106216257303362,0.017437399404744505,0.025191151387760374,0.011882906676205686,0.009637409140090716,0.014406732810228544
30,0.005450310562344721,0.0014950132358849243,0.00775882795440265,0.019038793227629205,0.02750462447439143,0.012974194024020494,0.010522477326425578,0.015729800109127084
31,0.0057559354536911534,0.0015788457537850137,0.008193902419135509,0.020106389109552338,0.0290469398654788,0.013701718922563699,0.011112522783982153,0.016611844975059444
32,0.00590874789936437,0.0016207620127350582,0.008411439651501939,0.020640187050513906,0.029818097561022487,0.014065481371835302,0.01140754551276044,0.017052867408025623
33,0.005959685381255442,0.0016347340990517398,0.008483952062290748,0.02081811969750109,0.030075150126203713,0.014186735521592502,0.011505886422353201,0.01719987488568102
34,0.005857810417473297,0.0016067899264183767,0.008338927240713128,0.020462254403526715,0.029561044995841255,0.013944227222078099,0.011309204603167675,0.01690585993037023
35,0.0057559354536911534,0.0015788457537850137,0.008193902419135509,0.020106389109552338,0.0290469398654788,0.013701718922563699,0.011112522783982153,0.016611844975059444
36,0.005654060489909009,0.0015509015811516506,0.00804887759755789,0.01975052381557796,0.028532834735116343,0.013459210623049297,0.010915840964796628,0.016317830019748656
37,0.005654060489909009,0.0015509015811516506,0.00804887759755789,0.01975052381557796,0.028532834735116343,0.013459210623049297,0.010915840964796628,0.016317830019748656
38,0.005704997971800081,0.001564873667468332,0.0081213900083467,0.019928456462565147,0.028789887300297568,0.013580464772806496,0.011014181874389389,0.016464837497404048
39,0.005806872935582226,0.001592817840101695,0.008266414829924318,0.020284321756539526,0.02930399243066003,0.0138229730723209,0.011210863693574914,0.016758852452714836
