,capacity_kW
NER.1_1,3127244756
NER.2_1,730833988.1
NER.3_1,161360437.7
NER.4_1,198346062.2
NER.5_1,2069287.842
NER.6_1,540685801.4
NER.7_1,468475664.4
NER.8_1,730254698.5
