time,NER.1_1,NER.2_1,NER.3_1,NER.4_1,NER.5_1,NER.6_1,NER.7_1,NER.8_1
2015-01-01 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 05:30:00,0.00018812289151196065,0.006423771612028439,0.0,8.283994056405281e-05,0.0,0.0,0.0,0.0011927702613677715
2015-01-01 06:30:00,0.13927342820612018,0.15863107063597506,0.05033519002778378,0.09721406109404429,0.03116378180452522,0.06741429675357982,0.030493413530347138,0.10524855643836173
2015-01-01 07:30:00,0.4463944454448298,0.40208845206230687,0.282765472962336,0.3521875975884956,0.2520409108917898,0.34021256258453103,0.25848398159292374,0.33737336769497833
2015-01-01 08:30:00,0.7056983842512292,0.6216059534775437,0.5261349479110106,0.6027067840177289,0.48110473126688924,0.6062269372696961,0.4955407037696837,0.5915790873045089
2015-01-01 09:30:00,0.8908016962246603,0.7560749440997206,0.7252640087144503,0.7744216634965847,0.6714778618112662,0.8061368016491639,0.6948434958476821,0.7844671375972592
2015-01-01 10:30:00,0.9785773065521762,0.8102318033972019,0.8390597624712819,0.8885097668421937,0.791557825251893,0.9146932630581831,0.8116970460297959,0.8781907475869447
2015-01-01 11:30:00,1.0013744883305409,0.8295046740292519,0.885199553495343,0.9293874768083755,0.8413856181252428,0.9414469663800984,0.8542209550322375,0.8883198025112959
2015-01-01 12:30:00,0.9416890653152713,0.7691693546172486,0.8683784439713736,0.9018770887598565,0.8282688519868788,0.9223124444816799,0.8335102431188238,0.8837955578883354
2015-01-01 13:30:00,0.8130308092409539,0.6557135585219968,0.7584397982143154,0.7960280853953604,0.746849256428591,0.7835202030657766,0.7742455808266917,0.7503446061103294
2015-01-01 14:30:00,0.6010700357322943,0.46772565861031545,0.6160210954652173,0.6202953903971277,0.6116792928991748,0.5366598221594612,0.6315621802677227,0.5322796818242838
2015-01-01 15:30:00,0.3156247915411093,0.23595459238085995,0.40931337941032986,0.3844739102132402,0.43023518264264826,0.3036798632190227,0.4390146882976716,0.3258240299734004
2015-01-01 16:30:00,0.05354695481531428,0.03810035090313567,0.17013562545832833,0.12421117963684507,0.193362415134633,0.0987714999374266,0.19732927347553036,0.08363528457894694
2015-01-01 17:30:00,0.0,0.0,0.009293909370533298,0.0009686619308485317,0.01406995918321302,0.0022803081786744585,0.01315968235658942,0.0
2015-01-01 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 20:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 21:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 23:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 05:30:00,0.00015178418938784175,0.006250080354198585,0.0,8.472736940363162e-05,0.0,0.0,0.0,0.00121225276963518
2015-01-02 06:30:00,0.10427713627015284,0.18951577841438197,0.047791979586679544,0.09662751989875344,0.02876707081663316,0.06667845081716026,0.02874945964590429,0.13493710252583094
2015-01-02 07:30:00,0.3427750439281764,0.45683649045890723,0.2761443893262773,0.3591860454881341,0.2457166425665084,0.3408180830392386,0.2545911726029887,0.40738560248575617
2015-01-02 08:30:00,0.5894799398647094,0.6818485242408706,0.5326318382727017,0.6106830085576667,0.49569092961812267,0.6071701102932706,0.5183882510801612,0.6521201491267858
2015-01-02 09:30:00,0.7770217843474513,0.8402875912539708,0.7318293091148117,0.7985390477799404,0.7050479596053836,0.8065319171234879,0.7279790675360865,0.8320680611345168
2015-01-02 10:30:00,0.8498380728320032,0.9203731340208149,0.8483288154970764,0.9040696635622797,0.8275082576225894,0.922320615119196,0.8543018918015696,0.9277890780980262
2015-01-02 11:30:00,0.8840544096223584,0.9281961350507496,0.9012557040485065,0.9394695165741861,0.8845285116262405,0.9667751883295292,0.9140653285306652,0.9497337282993917
2015-01-02 12:30:00,0.8289401292459787,0.8605695349055266,0.8795596037216391,0.9009636063259385,0.8534704683265072,0.9365383839189543,0.8732515357326185,0.9014196351976637
2015-01-02 13:30:00,0.685350815777064,0.7296389707697556,0.7955941482523595,0.7945569639835691,0.7909042746216592,0.8378761926064254,0.8109446512977206,0.7802172447418582
2015-01-02 14:30:00,0.46964682178656114,0.5292596179185328,0.6433273696314734,0.6197756414273564,0.6490515956249713,0.6673040894834407,0.6673872660650755,0.590274896227911
2015-01-02 15:30:00,0.28280930151798866,0.2767226494943362,0.4255736370709102,0.3839257130459181,0.4390955588603989,0.4325136824386321,0.45004227034274075,0.3412670924663557
