,NER.1_1,NER.2_1,NER.3_1,NER.4_1,NER.5_1,NER.6_1,NER.7_1,NER.8_1
NER.1_1,0.0,645.6131342001753,0.0,888.7274393345981,0.0,898.1137383614632,0.0,651.7142584527492
NER.2_1,645.6131342001753,0.0,0.0,0.0,0.0,0.0,0.0,458.7902521594524
NER.3_1,0.0,0.0,0.0,0.0,0.0,439.3230984595373,237.4447940724733,0.0
NER.4_1,888.7274393345981,0.0,0.0,0.0,0.0,375.0357300445573,0.0,400.9723931163298
NER.5_1,0.0,0.0,0.0,0.0,0.0,0.0,94.24350571084,0.0
NER.6_1,898.1137383614632,0.0,439.3230984595373,375.0357300445573,0.0,0.0,482.64816001950754,0.0
NER.7_1,0.0,0.0,237.4447940724733,0.0,94.24350571084,482.64816001950754,0.0,0.0
NER.8_1,651.7142584527492,458.7902521594524,0.0,400.9723931163298,0.0,0.0,0.0,0.0
